iter	MultiClass
438	0.03973893184
439	0.03957705423
440	0.03941711547
441	0.03925353288
442	0.03910605836
443	0.0389877469
444	0.03885392557
445	0.03878312703
446	0.03864061187
447	0.03843730691
448	0.03834900858
449	0.03826501795
450	0.03809360762
451	0.03795011413
452	0.03789932413
453	0.03770592839
454	0.0376006953
455	0.03751524046
456	0.03743587912
457	0.03718341711
458	0.03700277846
459	0.03692756109
460	0.03685247743
461	0.03676303786
462	0.03666588959
463	0.0365529385
464	0.03645196063
465	0.03635145998
466	0.03627147094
467	0.03618802293
468	0.03610895845
469	0.0360498027
470	0.03591319549
471	0.03581837758
472	0.03575953663
473	0.03568285022
474473	0.035010361475474	0.03492099476	0.03542987703
477	0.03531905335
478	0.035228319
479	0.03511229716
480	0.03502099221
481	0.480	0.034428482	0.481	0.034331483	0.482	0.034257484	0.483	0.034102485	484	0.03402482486	485	0.03397343487486	0.03383678488	487	0.03370415489	488	0.03366220490	489	0.03350610491	490	0.03342328492	491	0.0332804493	0492	0.0332198494	0493	0.0330984495	494	0.0330126496	0495	0.0329225497	496	0.03283125498	0.03351288045
499	0.03343895425
500	0.03340681516
501	0.03336557583
502	0.03330698518
503	0.0332784975
504	0.03309719024
505	0.03305348129
506	0.03299774663
507	0.03293023052
508	0.0328588832
509	0.03280895797
510	0.0327631322
511	0.03267791848
512	0.03257871453
513	0.03251170365
514	0.03235568077
515	0.03226619498
516	0.03218651903
517	0.03213693535
518	0.03207100876
519	0.03200727568
520	0.0319604476
521	0.03192862623
522	0.03188962053
523	0.03179481821
524	0.03170353239
525	0.03165201058
526	0.03160722902
527	0.03156451616
528	0.03152256925
529	0.03140030565
530	0.03134328304
531	0.03119631815
532	0.03117275794
533	0.03104182522
534	0.03099656786
535	0.0309418532
536	0.03086625191
537	0.03074002528
538	0.03070139053
539	0.03062993994
540	0.03054836906
541	0.03049312265
542	0.03047982072
543	0.03044182969
544	0.03036037047
545	0.03031514384
546	0.03027280631
547	0.03023376953
548	0.03013842861
549	0.03006365718
550	0.03003257447
551	0.02996648607
552	0.02993312533
553	0.0298930676
554	0.02981425747
555	0.02966682183
556	0.02950903103
557	0.02944550369
558	0.02939402008
559	0.0293467287
560	0.02930212432
561	0.02927215354
562	0.02923469736
563	0.02916559438
564	0.02913373616
565	0.02910978941
566	0.02894385435
567	0.0288559469
568	0.02880060891
569	0.02874762673
570	0.02870327503
571	0.02856577073
572	0.02850355086
573	0.02846799321
574	0.02839198333
575	0.02835028524
576	0.02829601232
577	0.02827454095
578	0.02816753672
579	0.02811291692
58579	0.0274851747581	0.02803541782
582	0.02797950244
583	0.0279257633
584	0.02783248886
585	0.02778150173
586	0.02774850164
587	0.02770212971
588	0.02757971398
589	0.02751989455
590	0.02743981001
591	0.02740268182
592	0.02736743514
593	0.02731774827
594	0.02723240948
595	0.02710380182
5595	0.0265116165597	0.02701804247
598	0.02697535373
599	0.02694565694
600	0.02691122686
601	0.02687548706
602	0.02683292259
603	0.02679827026
604	0.02676832576
605	0.02672198532
606	0.0266692574
607	0.02653793231
608	0.02651479328
609	0.02642189684
610	0.02637645782
611	0.0263578728
612	0.02623197628
613	0.02620568034
614	0.02607987662
615	0.02603134608
616	0.02597965586
617	0.0258815147
618	0.02581879998
619	0.02579613076
620	0.02577969099
621	0.02571715508
622	0.02565993891
623	0.02561697233
624	0.02556658113
625	0.02551754368
626	0.02546584038
627	0.02545121204
628	0.02541415869
629	0.02536949802
630	0.02525023627
631	0.02517407602
632	0.02505099674
633	0.02499842632
634	0.02497829044
635	0.02495381566
636	0.02488599132
637	0.02483892683
638	0.02481557801
639	0.02476397384
640	0.02465491109
641	0.02461494695
642	0.02456584339
643	0.02453379814
644	0.02450362041
645	0.02445710038
646	0.02444025823
647	0.02433278982
648	0.02431161651
649	0.02424953357
650	0.0242153155
651	0.02418556829
652	0.02414779054
653	0.02413000681
654	0.02408723829
655	0.02399087471
656	0.02394036668
657	0.02387181486
658	0.02382830426
659	0.0237808722
660	0.02373517143
661	0.02367718037
662	0.02364283738
663	0.02356390932
664	0.02354523737
665	0.02351797496
666	0.0234752476
667	0.02343896758
668	0.02334231097
669	0.02327571792
670	0.02322267966
671	0.02319386321
672	0.02317678136
673	0.02313682803
674	0.0231028465
675	0.02305473875
676	0.0230468387
677	0.02302590586
678	0.02300578177
679	0.0229830248
680	0.02294942769
681	0.02291743114
682	0.02288191338
683	0.02286026516
684	0.02277566165
685	0.02275338639
686	0.02271204248
687	0.02268743782
688	0.02266542936
689	0.02263498308
690	0.02258820249
691	0.02257409011
692	0.02251888238
693	0.02246364612
694	0.02237558681
695	0.0223590749
696	0.02232901845
697	0.02229732682
698	0.02226756708
699	0.02222385185
700	0.02220218913
701	0.02216838594
702	0.02214201604
703	0.02209644134
704	0.0220651852
705	0.02202644749
706	0.02194726952
707	0.0219125318
708	0.02187224967
709	0.02182223406
710	0.02179024287
711	0.02168819997
712	0.0216611878
713	0.02156608938
714	0.02155928074
715	0.0215281588
716	0.0215042263
717	0.02147354002
718	0.02145426358
719	0.02141939528
720	0.02138812353
721	0.02136252179
722	0.02132588396
723	0.02124793398
724	0.02123367424
725	0.02119102902
726	0.02113624716
727	0.02110964526
728	0.0210620341
729	0.02103305389
730	0.02102229061
731	0.02096561578
732	0.0209370593
733	0.0209166845
734	0.02086294044
735	0.02083687564
736	0.02081068928
737	0.02079853616
738	0.02078326512
739	0.02074689481
740	0.02070015252
741	0.02065717296
742	0.0206398049
743	0.02060992305
744	0.02058304137
745	0.02055718787
746	0.02049715246
747	0.02045178424
748	0.02043877567
749	0.020417131
750	0.02039947854
751	0.02032688519
752	0.0202886533
753	0.0202748942
754	0.02025068816
755	0.02022520137
756	0.02020254417
757	0.02016754664
758	0.02009941616
759	0.02008127006
760	0.020031504759761	0.01994556588
762	0.01992865937
763	0.019870280762764	0.019853582763765	0.01982274913
766	0.0197852112
767	0.019747425976768	0.019704492876769	0.019685804676770	0.019676926076771	0.019599990877772	0.019586714077773	0.019549556877774	0.019517533077775	0.019492803774776	0.01948599177777	0.019476387777778	0.019447459277779	0.019426219577780	0.019406504377781	0.01938743247782	0.019359946457783	0.01935029493
784	0.01931179996
785	0.01930629649
786	0.01925637449
787	0.01919105689
788	0.01916133685
789	0.01912580201
790	0.01910839909
791	0.0190844004
792	0.01905204406
793	0.01903316136
794	0.01898094001
795	0.01896733842
796	0.01890893422
797	0.0188646709
798	0.01882832975
799	0.01880045957
800	0.01878969312
801	0.01877642278
802	0.01873195619
803	0.01871754792
804	0.01867608301
805	0.01862853552
806	0.01859207706
807	0.01851235624
808	0.01850396217
809	0.01846367251
810	0.01841081125
811	0.01839228727
812	0.0183573011
813	0.01831711718
814	0.01829733176
815	0.01827711799
816	0.01826472986
817	0.01825480308
818	0.01824180117
819	0.01820380719
820	0.01816975737
821	0.01807470888
822	0.01802820497
823	0.01800109626
824	0.01797475354
825	0.01796611551
826	0.01795033834
827	0.0179255829
828	0.01786369711
829	0.01781201364
830	0.01777688764
831	0.01771825065
832	0.017694462183833	0.017673867383834	0.017666966183835	0.01758088399
836	0.01756268226
837	0.01754768889
838	0.0175245812
839	0.01749873387
840	0.01748126584
841	0.01747346307
842	0.01745885767
843	0.0174342448
844	0.017416606788845	0.01739087267
846	0.01735926171
847	0.01732140635
848	0.0172944198
849	0.01726346078
850	0.01724256476
851	0.01721117914
852	0.01720172205
853	0.0171465076
854	0.0171209074
855	0.01710065604
856	0.01708464188
857	0.01705783392
858	0.01703928756
859	0.01698984477
860	0.01696645698
861	0.01693331553
862	0.01689613467
863	0.01689191449
864	0.0168765847
865	0.01685435149
866	0.0168278118
867	0.01681352966
868	0.01680526978
869	0.0167863707
870	0.0167487211
871	0.01672418311
872	0.01671709086
873	0.01667041624
874	0.01666568198
875	0.01663873838
876	0.0166282827
877	0.01661067083
878	0.016592831487879	0.016577758087880	0.016553073879881	0.01653969238
882	0.016490206881883	0.0164449908
884	0.01638936078
885	0.01635895383
886	0.01634464879
887	0.01633599759
888	0.01633184361
889	0.01632191537
890	0.01630093658
891	0.01628181271
892	0.01625775094
893	0.01624406333
894	0.0162256521
895	0.01619947355
896	0.01618184052
897	0.01613930053
898	0.0161301374
899	0.01611415567
900	0.01609777773
901	0.01606497837
902	0.01604815931
903	0.01602811858
904	0.01601813034
905	0.01599222174
906	0.01594037429
907	0.01593299382
908	0.01591837826
909	0.01589718904
910	0.01588780191
911	0.01587567557
912	0.01580856022
913	0.01578362569
914	0.01576039967
915	0.01573577687
916	0.01567686523
917	0.01564350833
918	0.01561860425
919	0.01559841756
920	0.01557895877
921	0.01555555549
922	0.01553736568
923	0.01552826257
924	0.01543072344
925	0.0154194748
926	0.01537959794
927	0.01536786503
928	0.01535198216
929	0.0153305107
930	0.01529763901
931	0.0152511655
932	0.01523353114
933	0.01519610055
934	0.01518029964
935	0.01514945943
936	0.01513424614
937	0.01509769364
938	0.01508520148
939	0.01505891121
940	0.01504520164
941	0.01499928805
942	0.01498663129
943	0.0149429937
944	0.01491570428
945	0.01487995709
946	0.01484176546
947	0.01483085167
948	0.01482231714
949	0.01480642066
950	0.01479553285
951	0.01476709941
952	0.01475889237
953	0.01474155799
954	0.01470860938
955	0.01469642679
956	0.01466592993
957	0.01464230659
958	0.01462456214
959	0.01460154282
960	0.01458598852
961	0.014569898
962	0.01455576794
963	0.01452389843
964	0.01451963	0.0965	0.0145028731
966	0.014477965	0.967	0.014463966	0.968	0.014450967	0969	0.014438968	0.970	0.014390969	0.971	0.014384970	0.972	0.014331971	0.973	0.014315972	0.974	0.014271973	0.975	0.014263974	0.976	0.014253975	0.977	0.014218976	0.978	0.014206977	0.979	0.014149978	0.980	0.01412950803
981	0.01412015834
982	0.01409822098
983	0.01406982	0.0984	0.01404983	0.0985	0.01403984	0.0986	0.01400985	0.0987	0.01400986	0.0988	0.01398987	0.0989	0.01398988	0.0990	0.01397989	0.0991	0.01396990	0.0992	0.01395991	0.0993	0.01391992	0.0994	0.01389993	0.0995	0.01387994	0.0996	0.01385995	0.0997	0.0138996	0.01998	0.0138997	0.01999	0.0138998	0.01399361321
999	0.01398711472

38
